size,num_layers,l_dim,epoch,batch,dropout,bn,dist,best_auc,best_ep,seed
128,2,8,500,8192,0,0,cos,0.90408,80,20
64,2,10,500,8192,0,0,l2,0.90696,23,20
64,2,10,500,8192,0,0,cos,0.90420,23,20
128,2,10,500,8192,0,0,l2,0.90716,16,20
128,2,10,500,8192,0,0,cos,0.91137,17,20
64,2,1,500,8192,0,0,l2,0.90343,498,60
64,2,1,500,8192,0,0,cos,0.90689,209,60
64,2,27,500,8192,0,0,l2,0.91908,13,20
64,2,27,500,8192,0,0,cos,0.92271,13,20
128,2,27,500,8192,0,0,l2,0.91344,9,20
128,2,27,500,8192,0,0,cos,0.92056,9,20
64,2,2,500,8192,0,0,l2,0.91625,136,60
64,2,2,500,8192,0,0,cos,0.91282,162,60
64,2,32,500,8192,0,0,l2,0.91390,12,20
64,2,32,500,8192,0,0,cos,0.91981,12,20
128,2,32,500,8192,0,0,l2,0.90947,7,20
128,2,32,500,8192,0,0,cos,0.91712,7,20
64,2,5,500,8192,0,0,l2,0.90430,59,60
64,2,5,500,8192,0,0,cos,0.90439,49,60
64,2,1,500,8192,0,0,l2,0.89455,483,40
64,2,1,500,8192,0,0,cos,0.89461,486,40
128,2,1,500,8192,0,0,l2,0.91226,448,40
128,2,1,500,8192,0,0,cos,0.91243,454,40
64,2,8,500,8192,0,0,l2,0.90126,269,60
64,2,8,500,8192,0,0,cos,0.90256,269,60
64,2,2,500,8192,0,0,l2,0.90700,147,40
64,2,2,500,8192,0,0,cos,0.90852,147,40
128,2,2,500,8192,0,0,l2,0.90712,146,40
128,2,2,500,8192,0,0,cos,0.90630,101,40
64,2,10,500,8192,0,0,l2,0.89959,92,60
64,2,10,500,8192,0,0,cos,0.89882,94,60
64,2,5,500,8192,0,0,l2,0.90470,490,40
64,2,5,500,8192,0,0,cos,0.90564,490,40
128,2,5,500,8192,0,0,l2,0.92128,30,40
128,2,5,500,8192,0,0,cos,0.91730,35,40
64,2,27,500,8192,0,0,l2,0.90302,12,60
64,2,27,500,8192,0,0,cos,0.90355,12,60
64,2,8,500,8192,0,0,l2,0.90190,29,40
64,2,8,500,8192,0,0,cos,0.90102,30,40
128,2,8,500,8192,0,0,l2,0.90688,484,40
128,2,8,500,8192,0,0,cos,0.90779,444,40
64,2,32,500,8192,0,0,l2,0.90302,11,60
64,2,32,500,8192,0,0,cos,0.90983,11,60
64,2,10,500,8192,0,0,l2,0.89793,124,40
64,2,10,500,8192,0,0,cos,0.90321,16,40
128,2,10,500,8192,0,0,l2,0.90580,168,40
128,2,10,500,8192,0,0,cos,0.90454,455,40
64,2,1,500,8192,0,0,l2,0.91858,462,70
64,2,1,500,8192,0,0,cos,0.91777,499,70
128,2,27,500,8192,0,0,l2,0.90790,7,40
128,2,27,500,8192,0,0,cos,0.91633,7,40
64,2,27,500,8192,0,0,l2,0.89100,15,40
64,2,27,500,8192,0,0,cos,0.89766,11,40
64,2,2,500,8192,0,0,l2,0.90263,103,70
64,2,2,500,8192,0,0,cos,0.90733,91,70
